,Unnamed: 0.1,Unnamed: 0,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,dist_to_city,dist_to_education,dist_to_parks_and_gardens,dist_to_train_station,dist_to_shopping,dist_to_healthcare,SA2_CODE21,SA2_NAME21,GCC_NAME21
0,0,0,1,Unit,2024,430.0,2/9 jinghi road,reservoir,3073.0,1,1,-37.7065163,145.0134102,14.3808,0.735,0.41134,2.6060700000000003,1.90823,1.97105,209021523,Reservoir - North East,Greater Melbourne
1,1,1,1,Townhouse,2024,635.0,4/141 separation street,northcote,3070.0,2,2,-37.770055,145.005979,7.795199999999999,0.45647,0.2703899999999999,1.60676,0.50308,0.42505,206021499,Northcote - East,Greater Melbourne
2,2,2,0,Unit,2024,740.0,3905/8 sutherland street,melbourne,3000.0,2,2,-37.8112837,144.9610594,0.46805,1.17562,0.80983,1.25424,1.28766,0.30437,206041504,Melbourne CBD - North,Greater Melbourne
3,3,3,0,Unit,2024,360.0,4/3 holmes street,brunswick east,3057.0,1,1,-37.7614109,144.9738506,6.29896,0.49104,0.39087,1.3347,0.22163,0.80917,206011106,Brunswick East,Greater Melbourne
4,4,4,2,Townhouse,2024,750.0,1/13 high street,doncaster,3108.0,3,2,-37.7870068,145.104966,15.69024,1.4556099999999998,0.50244,5.03196,0.24111,0.67434,207021157,Doncaster,Greater Melbourne
5,5,5,0,House,2024,530.0,17 burnett street,mitcham,3132.0,3,1,-37.8120848,145.1959433,24.93261,0.69987,0.43167,0.95582,0.73848,0.41847,211041270,Mitcham (Vic.),Greater Melbourne
6,6,6,2,House,2024,700.0,87 strada crescent,wheelers hill,3150.0,4,2,-37.9115627,145.1686004,24.48053,0.5171399999999999,0.90978,4.52589,1.05958,1.22313,212051327,Wheelers Hill,Greater Melbourne
7,7,7,1,Unit,2024,650.0,1308/16 pentridge boulevard,coburg,3058.0,2,2,-37.7384534,144.9694507,9.5794,0.40888,0.15194,1.14377,0.2179199999999999,0.65918,206011497,Coburg - East,Greater Melbourne
8,8,8,2,House,2024,1400.0,3 st vincent street,caulfield east,3145.0,4,2,-37.8864534,145.0450761,14.73273,0.43519,0.68926,0.8926900000000001,0.79134,0.87176,208021177,Caulfield - North,Greater Melbourne
9,9,9,0,Unit,2024,600.0,1003/31 abeckett street,melbourne,3000.0,2,1,-37.8088893,144.9625546,0.74906,0.93221,0.0404099999999999,1.53525,0.60634,1.55328,206041504,Melbourne CBD - North,Greater Melbourne
