,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
0,1,Unit,2024,430.0,2/9 jinghi road,reservoir,3073.0,1,1,-37.7065163,145.0134102,209021523,Greater Melbourne,14.380799999999999
1,1,Townhouse,2024,635.0,4/141 separation street,northcote,3070.0,2,2,-37.770055,145.005979,206021499,Greater Melbourne,7.7951999999999995
2,0,Unit,2024,740.0,3905/8 sutherland street,melbourne,3000.0,2,2,-37.8112837,144.9610594,206041504,Greater Melbourne,0.46805
3,0,Unit,2024,360.0,4/3 holmes street,brunswick east,3057.0,1,1,-37.7614109,144.9738506,206011106,Greater Melbourne,6.29896
4,2,Townhouse,2024,750.0,1/13 high street,doncaster,3108.0,3,2,-37.7870068,145.104966,207021157,Greater Melbourne,15.69024
5,0,House,2024,530.0,17 burnett street,mitcham,3132.0,3,1,-37.8120848,145.1959433,211041270,Greater Melbourne,24.93261
6,2,House,2024,700.0,87 strada crescent,wheelers hill,3150.0,4,2,-37.9115627,145.1686004,212051327,Greater Melbourne,24.480529999999998
7,1,Unit,2024,650.0,1308/16 pentridge boulevard,coburg,3058.0,2,2,-37.7384534,144.9694507,206011497,Greater Melbourne,9.5794
8,2,House,2024,1400.0,3 st vincent street,caulfield east,3145.0,4,2,-37.8864534,145.0450761,208021177,Greater Melbourne,14.73273
9,0,Unit,2024,600.0,1003/31 abeckett street,melbourne,3000.0,2,1,-37.8088893,144.9625546,206041504,Greater Melbourne,0.74906
10,2,House,2024,580.0,3 airfield grove,point cook,3030.0,4,2,-37.899278,144.7185233,213051466,Greater Melbourne,30.34693
11,2,Townhouse,2024,675.0,2/75 eva st,clayton,3168.0,2,1,-37.92617389999999,145.1127965,212051568,Greater Melbourne,24.744919999999997
12,1,Unit,2024,660.0,1209/77 queens road,melbourne,3004.0,2,2,-37.8528041,144.9794182,206051514,Greater Melbourne,5.29739
13,0,Unit,2024,620.0,1/106 toorak road,south yarra,3141.0,2,1,-37.8376173,144.982351,206041125,Greater Melbourne,3.753
14,1,House,2024,575.0,1/142 kent road,pascoe vale,3044.0,2,1,-37.7196003,144.9369412,210031538,Greater Melbourne,12.05936
15,2,Unit,2024,390.0,1/16 banksia crescent,hoppers crossing,3029.0,2,1,-37.8610294,144.6848746,213051361,Greater Melbourne,31.342209999999998
16,1,Unit,2024,480.0,2/20 vincent street,macleod,3085.0,3,1,-37.7186365,145.071361,209011203,Greater Melbourne,19.54539
17,2,House,2024,620.0,27 inverness street,reservoir,3073.0,3,2,-37.7032367,145.0287974,209021523,Greater Melbourne,15.74692
18,1,Unit,2024,550.0,302/15-21 harrow street,box hill,3128.0,2,2,-37.8213496,145.1249495,207031163,Greater Melbourne,20.57639
19,1,Unit,2024,530.0,104/533-535 mt alexander rd,moonee ponds,3039.0,2,1,-37.7701275,144.9257252,206031116,Greater Melbourne,7.52482
20,1,House,2024,1095.0,14 neville street,albert park,3206.0,3,2,-37.8474116,144.9560136,206051128,Greater Melbourne,5.00955
21,0,Unit,2024,480.0,3/164-168 arden street,north melbourne,3051.0,1,1,-37.800354,144.9462448,206041506,Greater Melbourne,2.94465
22,1,Unit,2024,420.0,3/680 waverley road,glen waverley,3150.0,2,1,-37.8885308,145.1594268,212051322,Greater Melbourne,23.044700000000002
23,2,Townhouse,2024,650.0,3/426 buckley st,essendon west,3040.0,3,2,-37.7530297,144.884826,210011230,Greater Melbourne,12.60149
24,2,Townhouse,2024,550.0,22 seeber street,epping,3076.0,3,2,-37.632032,145.0011384,209041433,Greater Melbourne,25.5218
25,0,Unit,2024,700.0,701/151 berkeley street,melbourne,3000.0,2,1,-37.8021006,144.9583883,206041117,Greater Melbourne,1.5503900000000002
26,2,House,2024,850.0,54 barossa avenue,vermont south,3133.0,5,3,-37.85623289999999,145.1974292,211041273,Greater Melbourne,33.061519999999994
27,2,House,2024,745.0,1/57 almond st,caulfield south,3162.0,3,2,-37.8897298,145.0275859,208021178,Greater Melbourne,13.30287
28,2,Unit,2024,1080.0,3/28 hawthorn glen,hawthorn,3122.0,3,2,-37.8322552,145.0319502,207011520,Greater Melbourne,8.366340000000001
29,6,House,2024,650.0,9 wintersun drive,albanvale,3021.0,3,2,-37.7469435,144.7684986,213011333,Greater Melbourne,27.82218
30,2,House,2024,600.0,7 smythe avenue,mernda,3754.0,4,2,-37.6046223,145.0605681,209041532,Greater Melbourne,32.18209
31,3,House,2024,650.0,24 fulton crescent,burwood,3125.0,3,1,-37.848226,145.1310193,207031165,Greater Melbourne,17.96003
32,1,Unit,2024,625.0,405/28 swindon road,hughesdale,3166.0,2,2,-37.8972109,145.086841,208021180,Greater Melbourne,17.51375
33,3,House,2024,525.0,78 edenvale boulevard,wollert,3750.0,3,2,-37.6175454,145.0153968,209041437,Greater Melbourne,27.59987
34,2,Townhouse,2024,870.0,4/969 mt alexander rd,essendon,3040.0,4,2,-37.7493,144.912511,206031502,Greater Melbourne,11.15831
35,0,Unit,2024,640.0,4604/301 king street,melbourne,3000.0,1,1,-37.8132921,144.954018,206041505,Greater Melbourne,1.2914700000000001
36,2,House,2024,695.0,309c stud road,dandenong north,3175.0,4,3,-37.9540419,145.2261129,212041312,Greater Melbourne,33.12416
37,0,Unit,2024,560.0,307/33 batman street,west melbourne,3003.0,2,1,-37.8108602,144.9518268,206041510,Greater Melbourne,1.61131
38,2,House,2024,850.0,12 carambola place,berwick,3806.0,5,3,-38.0765737,145.3572574,212021553,Greater Melbourne,51.521300000000004
39,1,Townhouse,2024,875.0,1/28-30 charles street,northcote,3070.0,2,1,-37.7769646,144.9915337,206021500,Greater Melbourne,5.75879
40,1,Unit,2024,700.0,902c/2 tannery walk,footscray,3011.0,3,2,-37.8002319,144.9071097,213031348,Greater Melbourne,6.739739999999999
41,2,House,2024,500.0,7 roseneath way,mickleham,3064.0,3,2,-37.52999519999999,144.9093125,210051445,Greater Melbourne,42.65014
42,1,Unit,2024,600.0,505/12-14 nelson road,box hill,3128.0,2,2,-37.8161925,145.1197517,207031163,Greater Melbourne,19.51853
43,0,Unit,2024,750.0,3909/462 elizabeth street,melbourne,3000.0,2,1,-37.807859,144.960611,206041504,Greater Melbourne,0.80186
44,0,Unit,2024,800.0,5 hartley,caulfield,3162.0,3,2,-37.8806606,145.0214734,208021178,Greater Melbourne,11.98667
45,1,House,2024,425.0,6 berkley place,melton west,3337.0,3,1,-37.6730929,144.5658323,213041358,Greater Melbourne,46.12592
46,1,Unit,2024,610.0,1811/50 albert road,south melbourne,3205.0,2,1,-37.8340507,144.9713202,206051512,Greater Melbourne,2.67977
47,0,House,2024,760.0,7 leinster grove,brunswick east,3057.0,4,1,-37.7712901,144.972432,206011106,Greater Melbourne,5.2489
48,1,Unit,2024,700.0,105/2 nelson st,balaclava,3183.0,2,2,-37.8658605,144.994003,206051134,Greater Melbourne,7.61471
49,0,Unit,2024,789.0,99 franklin street,melbourne,3000.0,1,1,-37.8081956,144.9612917,206041504,Greater Melbourne,0.85612
50,8,House,2024,650.0,77 rowes lane,wallan,3756.0,4,2,-37.4115026,144.9602909,209041224,Greater Melbourne,53.34538
51,0,House,2024,825.0,87 montague street,southbank,3006.0,3,2,-37.8299017,144.9496307,206051511,Greater Melbourne,2.96591
52,2,Townhouse,2024,800.0,1/15 raymond street,noble park,3174.0,4,3,-37.97050970000001,145.171736,212041460,Greater Melbourne,34.51746
53,2,House,2024,550.0,17 stradbroke close,berwick,3806.0,3,2,-38.011784,145.321922,212021293,Greater Melbourne,43.49929
54,1,Unit,2024,455.0,311/632 doncaster road,doncaster,3108.0,1,1,-37.7875232,145.1266175,207021157,Greater Melbourne,18.27584
