parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21
1,Unit,2024,430.0,2/9 jinghi road,reservoir,3073,1,1,-37.7065163,145.0134102,209021523,Greater Melbourne
1,Townhouse,2024,635.0,4/141 separation street,northcote,3070,2,2,-37.770055,145.005979,206021499,Greater Melbourne
0,Unit,2024,740.0,3905/8 sutherland street,melbourne,3000,2,2,-37.8112837,144.9610594,206041504,Greater Melbourne
0,Unit,2024,360.0,4/3 holmes street,brunswick east,3057,1,1,-37.7614109,144.9738506,206011106,Greater Melbourne
2,Townhouse,2024,750.0,1/13 high street,doncaster,3108,3,2,-37.7870068,145.104966,207021157,Greater Melbourne
0,House,2024,530.0,17 burnett street,mitcham,3132,3,1,-37.8120848,145.1959433,211041270,Greater Melbourne
2,House,2024,700.0,87 strada crescent,wheelers hill,3150,4,2,-37.9115627,145.1686004,212051327,Greater Melbourne
1,Unit,2024,650.0,1308/16 pentridge boulevard,coburg,3058,2,2,-37.7384534,144.9694507,206011497,Greater Melbourne
2,House,2024,1400.0,3 st vincent street,caulfield east,3145,4,2,-37.8864534,145.0450761,208021177,Greater Melbourne
0,Unit,2024,600.0,1003/31 abeckett street,melbourne,3000,2,1,-37.8088893,144.9625546,206041504,Greater Melbourne
2,House,2024,580.0,3 airfield grove,point cook,3030,4,2,-37.899278,144.7185233,213051466,Greater Melbourne
2,Townhouse,2024,675.0,2/75 eva st,clayton,3168,2,1,-37.92617389999999,145.1127965,212051568,Greater Melbourne
1,Unit,2024,660.0,1209/77 queens road,melbourne,3004,2,2,-37.8528041,144.9794182,206051514,Greater Melbourne
0,Unit,2024,620.0,1/106 toorak road,south yarra,3141,2,1,-37.8376173,144.982351,206041125,Greater Melbourne
1,House,2024,575.0,1/142 kent road,pascoe vale,3044,2,1,-37.7196003,144.9369412,210031538,Greater Melbourne
2,Unit,2024,390.0,1/16 banksia crescent,hoppers crossing,3029,2,1,-37.8610294,144.6848746,213051361,Greater Melbourne
1,Unit,2024,480.0,2/20 vincent street,macleod,3085,3,1,-37.7186365,145.071361,209011203,Greater Melbourne
2,House,2024,620.0,27 inverness street,reservoir,3073,3,2,-37.7032367,145.0287974,209021523,Greater Melbourne
1,Unit,2024,550.0,302/15-21 harrow street,box hill,3128,2,2,-37.8213496,145.1249495,207031163,Greater Melbourne
1,Unit,2024,530.0,104/533-535 mt alexander rd,moonee ponds,3039,2,1,-37.7701275,144.9257252,206031116,Greater Melbourne
1,House,2024,1095.0,14 neville street,albert park,3206,3,2,-37.8474116,144.9560136,206051128,Greater Melbourne
0,Unit,2024,480.0,3/164-168 arden street,north melbourne,3051,1,1,-37.800354,144.9462448,206041506,Greater Melbourne
1,Unit,2024,420.0,3/680 waverley road,glen waverley,3150,2,1,-37.8885308,145.1594268,212051322,Greater Melbourne
2,Townhouse,2024,650.0,3/426 buckley st,essendon west,3040,3,2,-37.7530297,144.884826,210011230,Greater Melbourne
2,Townhouse,2024,550.0,22 seeber street,epping,3076,3,2,-37.632032,145.0011384,209041433,Greater Melbourne
0,Unit,2024,700.0,701/151 berkeley street,melbourne,3000,2,1,-37.8021006,144.9583883,206041117,Greater Melbourne
2,House,2024,850.0,54 barossa avenue,vermont south,3133,5,3,-37.85623289999999,145.1974292,211041273,Greater Melbourne
2,House,2024,745.0,1/57 almond st,caulfield south,3162,3,2,-37.8897298,145.0275859,208021178,Greater Melbourne
2,Unit,2024,1080.0,3/28 hawthorn glen,hawthorn,3122,3,2,-37.8322552,145.0319502,207011520,Greater Melbourne
6,House,2024,650.0,9 wintersun drive,albanvale,3021,3,2,-37.7469435,144.7684986,213011333,Greater Melbourne
2,House,2024,600.0,7 smythe avenue,mernda,3754,4,2,-37.6046223,145.0605681,209041532,Greater Melbourne
