,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,dist_to_city,dist_to_education,dist_to_parks_and_gardens,dist_to_train_station,dist_to_shopping,dist_to_healthcare,SA2_CODE21,SA2_NAME21,GCC_NAME21
0,0,0,0,0,House,2024,440.0,58 cox street,port fairy,3284.0,2,1,-38.3848557,142.2327149,28.3613,0.25998,0.6396499999999999,28.78641,0.43163,0.7973,217041478,Moyne - West,Rest of Vic.
1,1,1,1,1,House,2024,480.0,6 wattlebird close,seaspray,3851.0,3,2,-38.3611262,147.1804289,75.26805,1.23222,29.51878,32.59737,31.32728,36.62452,205051100,Longford - Loch Sport,Rest of Vic.
2,2,2,2,2,House,2024,560.0,58 leicester st,mildura,3500.0,3,2,-34.1690996,142.1353507,4.549060000000001,1.51806,1.99331,21.42034,3.71426,2.78404,215021469,Mildura - North,Rest of Vic.
3,3,3,3,1,House,2024,450.0,10 francis elliot court,bundalong,3730.0,3,1,-36.0381136,146.1739179,74.52911,16.27736,16.17385,47.18693,17.52301,15.961290000000002,216021412,Moira,Rest of Vic.
4,4,4,4,2,House,2024,380.0,12 dundas road,maryborough,3465.0,3,1,-37.0394071,143.738589,67.88624,1.7850899999999998,1.2340799999999998,1.68781,1.00224,0.65889,201031016,Maryborough (Vic.),Rest of Vic.
5,5,5,5,1,House,2024,300.0,27 sterling street,dunkeld,3294.0,2,1,-37.649925,142.3418303,97.18157,1.56804,1.19661,19.04269,30.91721,30.67984,217011423,Southern Grampians,Rest of Vic.
6,6,6,6,2,Townhouse,2024,650.0,235b roslyn road,highton,3216.0,3,2,-38.1731978,144.3226532,5.54444,0.78596,0.82417,4.40082,0.48207,2.11234,203021042,Highton,Rest of Vic.
7,7,7,7,2,House,2024,470.0,4 thorburn street,bell park,3215.0,3,1,-38.1122556,144.3424322,5.98883,0.33624,0.47616,2.11771,0.35795,0.32957,203021047,North Geelong - Bell Park,Rest of Vic.
8,8,8,8,0,Townhouse,2024,490.0,2/11 numurkah road,shepparton,3630.0,3,2,-36.3659671,145.4027397,1.94953,0.48668,0.36856,2.94605,1.63295,0.67465,216031416,Shepparton - North,Rest of Vic.
9,9,9,9,1,House,2024,340.0,4/92 lawrence street,wodonga,3690.0,2,1,-36.1251647,146.8965104,1.20985,1.31334,0.45803,5.23086,1.6162,2.73741,204031492,Wodonga,Rest of Vic.
10,10,10,10,1,Unit,2024,360.0,2/7 bieske road,grovedale,3216.0,1,1,-38.2054373,144.3360558,7.79104,0.7155900000000001,0.2192899999999999,3.10813,0.83504,0.95368,203021487,Grovedale - Mount Duneed,Rest of Vic.
11,11,11,11,2,House,2024,395.0,8 ritchie road,churchill,3842.0,3,1,-38.3084134,146.4118235,21.4058,0.4160899999999999,0.40154,11.37499,1.54135,13.3789,205041094,Churchill,Rest of Vic.
12,12,12,12,2,House,2024,700.0,5 malmsbury crescent,kialla,3631.0,4,2,-36.4332458,145.404295,6.95367,0.61602,0.48632,6.32682,4.34991,10.05073,216031593,Kialla,Rest of Vic.
13,13,13,13,2,House,2024,560.0,26 angophora court,lucknow,3875.0,4,2,-37.8041609,147.6512699,121.45562,1.16706,2.46629,4.82457,3.20141,4.41535,205021081,Bairnsdale,Rest of Vic.
14,14,14,14,2,House,2024,435.0,14 burtonwood court,neerim south,3831.0,2,1,-38.0106585,145.9496282,77.2056,1.31173,19.97096,21.13475,1.10865,1.6554,205011077,Mount Baw Baw Region,Rest of Vic.
15,15,15,15,2,Townhouse,2024,650.0,28 wurrak crescent,torquay,3228.0,3,2,-38.32158769999999,144.3080946,21.61652,0.5465099999999999,1.22621,16.35799,2.4448600000000003,2.38882,203031053,Torquay,Rest of Vic.
16,16,16,16,2,House,2024,510.0,1538 wangaratta-yarrawonga rd,killawarra,3678.0,3,1,-36.2428826,146.2468445,83.58841000000001,14.50274,14.54586,16.22348,15.11309,13.86967,204021067,Wangaratta Surrounds,Rest of Vic.
17,17,17,17,1,House,2024,380.0,519 bell street,redan,3350.0,3,1,-37.57674859999999,143.8361878,3.40352,0.2268,0.50246,3.58182,0.53803,2.00254,201011484,Sebastopol - Redan,Rest of Vic.
18,18,18,18,1,House,2024,490.0,1 taminga mews,st albans park,3219.0,3,2,-38.1838212,144.3918653,5.50491,1.25391,0.8820399999999999,6.20569,1.29575,0.99952,203021045,Newcomb - Moolap,Rest of Vic.
19,19,19,19,1,House,2024,440.0,14 royal avenue,kennington,3550.0,2,1,-36.76086129999999,144.291515,1.25448,1.1391300000000002,0.56867,1.31002,1.00595,0.86026,202011020,East Bendigo - Kennington,Rest of Vic.
20,20,20,20,0,Townhouse,2024,450.0,196 timor street,warrnambool,3280.0,5,1,-38.3846797,142.4809662,0.3555299999999999,1.08464,0.15909,0.6794199999999999,0.14831,1.04977,217041480,Warrnambool - South,Rest of Vic.
21,21,21,21,0,Unit,2024,310.0,5/48 king street,ararat,3377.0,2,1,-37.2828022,142.9372572,92.88013,0.29488,2.10519,0.15724,0.69125,1.29594,215011386,Ararat,Rest of Vic.
22,22,22,22,0,Unit,2024,550.0,unit 4/2 gawler street,portland,3305.0,2,1,-38.3503554,141.6058274,100.25883,0.75359,0.5256900000000001,86.38797,0.29907,1.07028,217011422,Portland,Rest of Vic.
23,23,23,23,1,Unit,2024,340.0,6/20 hopetoun road,warrnambool,3280.0,2,1,-38.3685552,142.4738103,2.1060700000000003,1.10213,2.10897,2.36823,1.36984,1.1685,217041479,Warrnambool - North,Rest of Vic.
24,24,24,24,1,Unit,2024,295.0,4/131 billabong road,nichols point,3501.0,2,1,-34.2033054,142.2275351,9.87286,2.94719,2.87636,16.70788,7.740939999999999,7.51221,215021395,Irymple,Rest of Vic.
25,25,25,25,2,House,2024,510.0,24 hardisty street,wangaratta,3677.0,3,1,-36.3690362,146.3258143,70.37162,0.8496,1.28322,2.36011,1.80947,2.46017,204021066,Wangaratta,Rest of Vic.
26,26,26,26,0,Townhouse,2024,550.0,3 carlassare court myrtleford,myrtleford,3737.0,4,1,-36.5826745,146.7504404,69.71783,4.76635,1.04107,56.73532,3.40902,4.61204,204031071,Myrtleford,Rest of Vic.
27,27,27,27,2,House,2024,430.0,13 bluegum court,corio,3214.0,3,1,-38.0784886,144.3408547,11.61941,1.43882,0.7035399999999999,4.44318,1.65705,2.15102,203021486,Corio - Lovely Banks,Rest of Vic.
28,28,28,28,2,House,2024,450.0,23 mackie close,hamlyn heights,3215.0,2,1,-38.1094932,144.322102,6.8689,1.90091,1.82837,4.21787,1.88928,2.39323,203021040,Geelong West - Hamlyn Heights,Rest of Vic.
29,29,29,29,2,House,2024,540.0,43 chilula st,huntly,3551.0,4,2,-36.6566682,144.3472436,13.66667,1.66957,1.55574,2.8514,1.91499,6.85768,202011025,White Hills - Ascot,Rest of Vic.
30,30,30,30,2,House,2024,530.0,27 irontree close,kangaroo flat,3555.0,3,2,-36.8029387,144.2314012,8.85234,1.75554,2.94685,2.5085,2.0927800000000003,7.07192,202011022,Kangaroo Flat - Golden Square,Rest of Vic.
31,31,31,31,2,House,2024,320.0,51 amaroo dr,churchill,3842.0,3,1,-38.3195566,146.4207465,21.38917,1.2885,0.38083,12.13526,0.9081,14.13917,205041094,Churchill,Rest of Vic.
32,32,32,32,2,House,2024,600.0,90 crole drive,warragul,3820.0,4,2,-38.1462179,145.9124776,63.42416,2.94661,0.74829,3.13605,2.54893,3.20271,205011079,Warragul,Rest of Vic.
33,33,33,33,3,House,2024,500.0,19 blackwood court,enfield,3352.0,4,2,-37.7274049,143.8050776,21.01563,6.84867,15.97155,21.19393,14.72912,16.866439999999997,201031015,Golden Plains - North,Rest of Vic.
34,34,34,34,1,House,2024,290.0,13 burke street,mortlake,3272.0,2,1,-38.082566,142.8020139,50.40795,0.5453300000000001,1.11871,23.14785,23.23023,24.20366,217041477,Moyne - East,Rest of Vic.
35,35,35,35,1,House,2024,495.0,9 paradise circuit,armstrong creek,3217.0,3,2,-38.2231053,144.3618711,9.93125,0.96851,2.32798,3.86587,2.15387,4.71615,203031489,Barwon Heads - Armstrong Creek,Rest of Vic.
36,36,36,36,2,House,2024,400.0,28 holden st,camperdown,3260.0,3,1,-38.2408251,143.1428467,69.32310000000001,0.3434,2.7756,2.16522,1.31797,12.79639,217031471,Camperdown,Rest of Vic.
37,37,37,37,2,House,2024,480.0,83 verdale drive,alfredton,3350.0,4,2,-37.56114,143.7876907,8.768030000000001,2.64666,0.36525,7.368399999999999,2.3689400000000003,2.22202,201011001,Alfredton,Rest of Vic.
38,38,38,38,0,House,2024,460.0,34 colliver road,shepparton,3630.0,3,1,-36.3997068,145.400468,2.3022,0.35478,1.45323,2.33289,2.01835,2.37456,216031594,Shepparton - South East,Rest of Vic.
39,39,39,39,2,Unit,2024,455.0,2/308 barker street,castlemaine,3450.0,2,1,-37.0559096,144.2192908,38.2037,0.27635,0.96204,1.12898,0.90837,1.0603,202021027,Castlemaine,Rest of Vic.
40,40,40,40,4,House,2024,420.0,5 sofia court,wodonga,3690.0,3,1,-36.1271671,146.9033783,1.8715,0.12882,0.13968,5.54978,2.41671,3.31495,204031492,Wodonga,Rest of Vic.
41,41,41,41,0,Studio,2024,395.0,8 garner lane,st leonards,3223.0,1,1,-38.1791716,144.7047954,32.72926,1.41601,0.76251,74.91078,1.56569,12.34702,203031051,Portarlington,Rest of Vic.
