,parking,property_type,date_available,weekly_cost,address,suburb,postcode,beds,baths,latitude,longitude,SA2_CODE21,GCC_NAME21,dist_to_city
0,0,House,2024,440.0,58 cox street,port fairy,3284.0,2,1,-38.3848557,142.2327149,217041478,Rest of Vic.,28.3613
1,1,House,2024,480.0,6 wattlebird close,seaspray,3851.0,3,2,-38.3611262,147.1804289,205051100,Rest of Vic.,75.26805
2,2,House,2024,560.0,58 leicester st,mildura,3500.0,3,2,-34.1690996,142.1353507,215021469,Rest of Vic.,4.549060000000001
3,1,House,2024,450.0,10 francis elliot court,bundalong,3730.0,3,1,-36.0381136,146.1739179,216021412,Rest of Vic.,74.52911
4,2,House,2024,380.0,12 dundas road,maryborough,3465.0,3,1,-37.0394071,143.738589,201031016,Rest of Vic.,67.88624
5,1,House,2024,300.0,27 sterling street,dunkeld,3294.0,2,1,-37.649925,142.3418303,217011423,Rest of Vic.,97.18157000000001
6,2,Townhouse,2024,650.0,235b roslyn road,highton,3216.0,3,2,-38.1731978,144.3226532,203021042,Rest of Vic.,5.54444
7,2,House,2024,470.0,4 thorburn street,bell park,3215.0,3,1,-38.1122556,144.3424322,203021047,Rest of Vic.,5.98883
8,0,Townhouse,2024,490.0,2/11 numurkah road,shepparton,3630.0,3,2,-36.3659671,145.4027397,216031416,Rest of Vic.,1.94953
9,1,House,2024,340.0,4/92 lawrence street,wodonga,3690.0,2,1,-36.1251647,146.8965104,204031492,Rest of Vic.,1.2098499999999999
10,1,Unit,2024,360.0,2/7 bieske road,grovedale,3216.0,1,1,-38.2054373,144.3360558,203021487,Rest of Vic.,7.79104
11,2,House,2024,395.0,8 ritchie road,churchill,3842.0,3,1,-38.3084134,146.4118235,205041094,Rest of Vic.,21.4058
12,2,House,2024,700.0,5 malmsbury crescent,kialla,3631.0,4,2,-36.4332458,145.404295,216031593,Rest of Vic.,6.95367
13,2,House,2024,560.0,26 angophora court,lucknow,3875.0,4,2,-37.8041609,147.6512699,205021081,Rest of Vic.,121.45562
14,2,House,2024,435.0,14 burtonwood court,neerim south,3831.0,2,1,-38.0106585,145.9496282,205011077,Rest of Vic.,77.2056
15,2,Townhouse,2024,650.0,28 wurrak crescent,torquay,3228.0,3,2,-38.32158769999999,144.3080946,203031053,Rest of Vic.,21.61652
16,2,House,2024,510.0,1538 wangaratta-yarrawonga rd,killawarra,3678.0,3,1,-36.2428826,146.2468445,204021067,Rest of Vic.,83.58841000000001
17,1,House,2024,380.0,519 bell street,redan,3350.0,3,1,-37.57674859999999,143.8361878,201011484,Rest of Vic.,3.40352
18,1,House,2024,490.0,1 taminga mews,st albans park,3219.0,3,2,-38.1838212,144.3918653,203021045,Rest of Vic.,5.50491
19,1,House,2024,440.0,14 royal avenue,kennington,3550.0,2,1,-36.76086129999999,144.291515,202011020,Rest of Vic.,1.25448
20,0,Townhouse,2024,450.0,196 timor street,warrnambool,3280.0,5,1,-38.3846797,142.4809662,217041480,Rest of Vic.,0.35552999999999996
21,0,Unit,2024,310.0,5/48 king street,ararat,3377.0,2,1,-37.2828022,142.9372572,215011386,Rest of Vic.,92.88013000000001
22,0,Unit,2024,550.0,unit 4/2 gawler street,portland,3305.0,2,1,-38.3503554,141.6058274,217011422,Rest of Vic.,100.25883
23,1,Unit,2024,340.0,6/20 hopetoun road,warrnambool,3280.0,2,1,-38.3685552,142.4738103,217041479,Rest of Vic.,2.1060700000000003
24,1,Unit,2024,295.0,4/131 billabong road,nichols point,3501.0,2,1,-34.2033054,142.2275351,215021395,Rest of Vic.,9.872860000000001
25,2,House,2024,510.0,24 hardisty street,wangaratta,3677.0,3,1,-36.3690362,146.3258143,204021066,Rest of Vic.,70.37162
26,0,Townhouse,2024,550.0,3 carlassare court myrtleford,myrtleford,3737.0,4,1,-36.5826745,146.7504404,204031071,Rest of Vic.,69.71783
27,2,House,2024,430.0,13 bluegum court,corio,3214.0,3,1,-38.0784886,144.3408547,203021486,Rest of Vic.,11.61941
28,2,House,2024,450.0,23 mackie close,hamlyn heights,3215.0,2,1,-38.1094932,144.322102,203021040,Rest of Vic.,6.8689
29,2,House,2024,540.0,43 chilula st,huntly,3551.0,4,2,-36.6566682,144.3472436,202011025,Rest of Vic.,13.66667
30,2,House,2024,530.0,27 irontree close,kangaroo flat,3555.0,3,2,-36.8029387,144.2314012,202011022,Rest of Vic.,8.85234
31,2,House,2024,320.0,51 amaroo dr,churchill,3842.0,3,1,-38.3195566,146.4207465,205041094,Rest of Vic.,21.38917
32,2,House,2024,600.0,90 crole drive,warragul,3820.0,4,2,-38.1462179,145.9124776,205011079,Rest of Vic.,63.42416
33,3,House,2024,500.0,19 blackwood court,enfield,3352.0,4,2,-37.7274049,143.8050776,201031015,Rest of Vic.,21.01563
34,1,House,2024,290.0,13 burke street,mortlake,3272.0,2,1,-38.082566,142.8020139,217041477,Rest of Vic.,50.40795
35,1,House,2024,495.0,9 paradise circuit,armstrong creek,3217.0,3,2,-38.2231053,144.3618711,203031489,Rest of Vic.,9.93125
36,2,House,2024,400.0,28 holden st,camperdown,3260.0,3,1,-38.2408251,143.1428467,217031471,Rest of Vic.,69.32310000000001
37,2,House,2024,480.0,83 verdale drive,alfredton,3350.0,4,2,-37.56114,143.7876907,201011001,Rest of Vic.,8.768030000000001
38,0,House,2024,460.0,34 colliver road,shepparton,3630.0,3,1,-36.3997068,145.400468,216031594,Rest of Vic.,2.3022
39,2,Unit,2024,455.0,2/308 barker street,castlemaine,3450.0,2,1,-37.0559096,144.2192908,202021027,Rest of Vic.,38.2037
40,4,House,2024,420.0,5 sofia court,wodonga,3690.0,3,1,-36.1271671,146.9033783,204031492,Rest of Vic.,1.8715
41,0,Studio,2024,395.0,8 garner lane,st leonards,3223.0,1,1,-38.1791716,144.7047954,203031051,Rest of Vic.,32.72926
42,1,Unit,2024,250.0,2/123 cobb street,penshurst,3289.0,2,1,-37.8782576,142.2855463,217011423,Rest of Vic.,68.75665
43,0,House,2024,550.0,37 clonard avenue,geelong west,3218.0,3,1,-38.1354783,144.3443963,203021040,Rest of Vic.,2.78436
44,2,House,2024,540.0,38 manet ave,grovedale,3216.0,3,2,-38.2064473,144.3135023,203021487,Rest of Vic.,8.61326
45,2,House,2024,590.0,11 christian rise,traralgon,3844.0,4,2,-38.1803534,146.5591356,205041493,Rest of Vic.,3.82582
46,0,Unit,2024,380.0,115a mckillop street,geelong,3220.0,1,1,-38.1551359,144.3648864,203021039,Rest of Vic.,1.2823399999999998
47,6,House,2024,990.0,170-240 peak school road,lara,3212.0,3,1,-37.9764728,144.37176,203021043,Rest of Vic.,25.84109
48,2,House,2024,600.0,17 george street,traralgon,3844.0,3,1,-38.1908372,146.5402546,205041493,Rest of Vic.,0.75598
49,1,Unit,2024,380.0,6/2 garden avenue,bairnsdale,3875.0,2,1,-37.8218971,147.6090285,205021081,Rest of Vic.,116.30614999999999
50,2,House,2024,360.0,910 warrenheip street,buninyong,3357.0,3,1,-37.6544633,143.8822338,201011005,Rest of Vic.,11.3714
51,2,House,2024,500.0,101 berrigan drive,bonshaw,3352.0,4,2,-37.5990943,143.8228986,201011006,Rest of Vic.,6.49008
52,0,House,2024,400.0,523 corangamite lake road,cororooke,3254.0,3,1,-38.2891352,143.5222146,217031473,Rest of Vic.,97.86998
53,0,House,2024,420.0,3 union street,kyabram,3620.0,3,1,-36.3188304,145.0477048,216011407,Rest of Vic.,37.853519999999996
54,2,House,2024,390.0,1/71 washington street,traralgon,3844.0,3,2,-38.1968362,146.520161,205041494,Rest of Vic.,1.94274
55,2,House,2024,475.0,577 san mateo avenue,mildura,3500.0,3,2,-34.2161584,142.1347466,215021470,Rest of Vic.,3.31232
56,1,House,2024,320.0,23 talbot street south,ballarat central,3350.0,2,1,-37.5618233,143.842935,201011002,Rest of Vic.,1.89369
57,2,House,2024,450.0,4 sharland rd,corio,3214.0,3,1,-38.0666311,144.3782238,203021486,Rest of Vic.,11.184479999999999
58,2,House,2024,420.0,1783 sturt street,alfredton,3350.0,3,2,-37.550103,143.8046,201011001,Rest of Vic.,5.87699
59,0,House,2024,450.0,35 anderson avenue,inverloch,3996.0,3,1,-38.6297675,145.7392692,205031093,Rest of Vic.,99.58578
60,1,House,2024,370.0,67 gillies street,maryborough,3465.0,3,1,-37.0528914,143.7465737,201031016,Rest of Vic.,66.24808999999999
61,2,Unit,2024,330.0,17 brown street,trafalgar,3824.0,1,1,-38.2083903,146.1614443,205011078,Rest of Vic.,39.47469
62,1,Unit,2024,310.0,2/3-5 wandana drive,wandana heights,3216.0,1,1,-38.1717138,144.3086974,203021042,Rest of Vic.,7.13249
63,0,House,2024,350.0,17 olympic parade,kangaroo flat,3555.0,3,1,-36.7948936,144.2376678,202011022,Rest of Vic.,7.492100000000001
64,2,House,2024,480.0,22 coast avenue,paynesville,3880.0,4,2,-37.9077356,147.7081304,205021086,Rest of Vic.,128.49665
65,2,House,2024,695.0,139 dyar ave,mildura,3500.0,4,2,-34.1718827,142.138593,215021469,Rest of Vic.,3.7584299999999997
66,1,House,2024,400.0,11 exton crescent,benalla,3672.0,2,1,-36.562473,145.9637933,204021063,Rest of Vic.,64.22874
67,3,House,2024,850.0,116 morpung avenue,irymple,3498.0,6,3,-34.2291467,142.1973801,215021395,Rest of Vic.,7.2465
